Param,Flow,IS,IS2,IS2xITF
x3_FilterCutoff,0.860808999,0.720165375,0.750074493,0.728024434
x24_Osc2Waveform,0.998174911,0.993891538,0.994897199,0.993966031
x20_Osc2Tune,0.949903159,0.934967223,0.937053039,0.936047378
x26_Lfo1Waveform,0.682881406,0.783335816,0.78795441,0.783857271
x28_Lfo1Rate,0.475417163,0.529387664,0.533447557,0.529797378
x30_Lfo1Amount,0.733797676,0.717409118,0.721990465,0.717856079
x27_Lfo2Waveform,0.888669547,0.888744041,0.888595054,0.887663886
x29_Lfo2Rate,0.847735399,0.845612336,0.846766985,0.845984803
x31_Lfo2Amount,0.847735399,0.842818832,0.844569428,0.843191299
MEAN,0.809458184,0.806259105,0.811705403,0.807376506
