,GT,Flow,IS,IS2noITF,IS2
ALGORITHM,0.9677419,0.9677419,0.9677419,0.9677419,0.9677419
FEEDBACK,0.71428573,0.5714286,0.71428573,0.71428573,0.71428573
OSC KEY SYNC,0.0,0.0,0.0,0.0,0.0
LFO SPEED,0.343434,0.30342495,0.3162799,0.32539067,0.32049295
LFO DELAY,0.333333,0.34712094,0.28669295,0.31576908,0.32747164
LFO PM DEPTH,0.0,0.0,0.0052648745,0.0,0.0
LFO AM DEPTH,0.0,0.0,0.01081499,0.016140362,0.005335568
LFO KEY SYNC,0.0,0.0,0.0,0.0,0.0
LFO WAVE,0.8,0.8,0.8,0.8,0.8
P MODE SENS.,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143
PITCH EG RATE 1,0.949495,0.84062314,0.9338226,0.98113364,0.9882348
PITCH EG RATE 2,0.676768,0.69721735,0.7080737,0.71907693,0.72245944
PITCH EG RATE 3,0.959596,0.9360064,0.9390517,0.981322,0.98980415
PITCH EG RATE 4,0.606061,0.63317084,0.6169059,0.6425469,0.6364101
PITCH EG LEVEL 1,0.50505,0.5165935,0.50428975,0.5050496,0.50504565
PITCH EG LEVEL 2,0.50505,0.5296535,0.50505006,0.50505,0.50504994
PITCH EG LEVEL 3,0.50505,0.54001194,0.5050502,0.5050499,0.5050499
PITCH EG LEVEL 4,0.50505,0.52652586,0.5050501,0.50504994,0.50505006
OP1 EG RATE 1,0.969697,0.9282906,0.9344265,0.93477845,0.94168407
OP1 EG RATE 2,0.30303,0.30695468,0.35603657,0.28316805,0.2569708
OP1 EG RATE 3,0.252525,0.17288314,0.24502178,0.18518505,0.1767508
OP1 EG RATE 4,0.40404,0.48698932,0.425944,0.40356416,0.39965087
OP1 EG LEVEL 1,1.0,1.0,1.0,0.9999997,0.9999998
OP1 EG LEVEL 2,0.808081,0.80911434,0.7979503,0.812746,0.7910044
OP1 EG LEVEL 3,0.0,0.0,0.0035097788,0.0,0.0
OP1 EG LEVEL 4,0.0,0.0,2.8694442e-08,7.5105696e-08,1.83e-07
OP1 OUTPUT LEVEL,1.0,1.0,0.9921887,1.0,1.0
OP1 MODE,0.0,0.0,0.0,0.0,0.0
OP1 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP1 F FINE,0.0,0.0,0.0,0.006030315,0.004957128
OP1 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP1 BREAK POINT,0.0,0.0,0.026349604,0.02122637,0.007149472
OP1 L SCALE DEPTH,0.0,0.0,0.01629217,0.02435544,0.0315522
OP1 R SCALE DEPTH,0.0,0.0,0.0,0.005379464,0.000315429
OP1 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 RATE SCALING,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP1 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP1 KEY VELOCITY,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP2 EG RATE 1,0.969697,0.9029726,0.96229714,0.980021,0.981455
OP2 EG RATE 2,0.30303,0.4532986,0.33625993,0.2752554,0.24280824
OP2 EG RATE 3,0.252525,0.24594077,0.23524246,0.22176957,0.2200005
OP2 EG RATE 4,0.40404,0.47278544,0.39022458,0.45679364,0.4499036
OP2 EG LEVEL 1,1.0,1.0,1.0,0.98946345,0.9894566
OP2 EG LEVEL 2,0.808081,0.76415116,0.8987881,0.83690894,0.8263681
OP2 EG LEVEL 3,0.0,0.0,0.026863066,0.0,0.0
OP2 EG LEVEL 4,0.0,0.0,0.0,0.0,6.86e-08
OP2 OUTPUT LEVEL,0.868687,0.72789705,0.86905956,0.86035883,0.85402733
OP2 MODE,0.0,0.0,0.0,0.0,0.0
OP2 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP2 F FINE,0.0,0.0,0.0,0.0,0.0
OP2 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP2 BREAK POINT,0.0,0.13918644,0.0,0.0,0.0
OP2 L SCALE DEPTH,0.0,0.0,0.0056009158,0.0,0.0
OP2 R SCALE DEPTH,0.0,0.05145961,0.0,0.011231581,0.012261719
OP2 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 RATE SCALING,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP2 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP2 KEY VELOCITY,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP3 EG RATE 1,0.969697,0.92254126,0.93540376,0.95603794,0.97333205
OP3 EG RATE 2,0.30303,0.35379696,0.35347292,0.2560238,0.2418576
OP3 EG RATE 3,0.252525,0.23120746,0.21952488,0.21613556,0.21794389
OP3 EG RATE 4,0.40404,0.41091686,0.38701743,0.40551385,0.41303647
OP3 EG LEVEL 1,1.0,1.0,0.9928109,1.0,1.0
OP3 EG LEVEL 2,0.808081,0.8886373,0.80367863,0.817415,0.80572164
OP3 EG LEVEL 3,0.0,0.0,0.0,0.0,0.0
OP3 EG LEVEL 4,0.0,0.0,6.332497e-08,9.845163e-08,0.0
OP3 OUTPUT LEVEL,0.888889,0.99695945,0.92202693,0.88114226,0.88829607
OP3 MODE,0.0,0.0,0.0,0.0,0.0
OP3 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP3 F FINE,0.0,0.0,0.017859036,0.0042709988,0.0
OP3 OSC DETUNE,0.071428575,0.5,0.071428575,0.071428575,0.071428575
OP3 BREAK POINT,0.0,0.12534013,0.0,0.04766611,0.043167435
OP3 L SCALE DEPTH,0.0,0.0,0.0,0.0,0.00680223
OP3 R SCALE DEPTH,0.0,0.0,0.0,0.021104956,0.011742717
OP3 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP3 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP3 RATE SCALING,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP3 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP3 KEY VELOCITY,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP4 EG RATE 1,0.969697,0.932804,1.0,0.9995193,1.0
OP4 EG RATE 2,0.30303,0.3401829,0.3730077,0.36382782,0.34119785
OP4 EG RATE 3,0.252525,0.23829412,0.24774998,0.19543529,0.19226387
OP4 EG RATE 4,0.40404,0.41101664,0.43976134,0.4341066,0.4301549
OP4 EG LEVEL 1,1.0,1.0,0.98078954,0.9896836,0.9905348
OP4 EG LEVEL 2,0.808081,0.7493289,0.7728357,0.84234506,0.82765055
OP4 EG LEVEL 3,0.0,0.0,0.0,0.0,0.0
OP4 EG LEVEL 4,0.0,0.0,0.0,0.0,2.31e-08
OP4 OUTPUT LEVEL,0.979798,0.8427777,0.95764005,0.948368,0.9465528
OP4 MODE,0.0,0.0,0.0,0.0,0.0
OP4 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP4 F FINE,0.0,0.0,0.0076643224,0.0,0.0
OP4 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP4 BREAK POINT,0.0,0.0,0.0,0.010374158,0.001029187
OP4 L SCALE DEPTH,0.0,0.0,0.001503633,0.0,0.0
OP4 R SCALE DEPTH,0.0,0.0,0.0,0.0,0.0
OP4 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP4 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP4 RATE SCALING,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP4 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP4 KEY VELOCITY,0.0,0.5714286,0.0,0.0,0.0
OP5 EG RATE 1,0.969697,0.9420788,0.9185521,0.9415767,0.956577
OP5 EG RATE 2,0.828283,0.49647045,0.78607225,0.6491945,0.663764
OP5 EG RATE 3,0.252525,0.2651778,0.16339132,0.20362833,0.20746227
OP5 EG RATE 4,0.40404,0.3651559,0.36296657,0.3632602,0.36123815
OP5 EG LEVEL 1,1.0,1.0,0.9862515,0.99395823,0.9917368
OP5 EG LEVEL 2,0.808081,0.96750206,0.8395297,0.8678878,0.85107595
OP5 EG LEVEL 3,0.0,0.0,0.0,0.0,0.0
OP5 EG LEVEL 4,0.0,0.0,0.0,3.4933458e-07,1.76e-07
OP5 OUTPUT LEVEL,1.0,0.89751875,0.9756258,1.0,1.0
OP5 MODE,0.0,0.0,0.0,0.0,0.0
OP5 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP5 F FINE,0.0,0.0,0.0,0.0,0.0
OP5 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP5 BREAK POINT,0.0,0.106233776,0.0,0.061625272,0.05548581
OP5 L SCALE DEPTH,0.0,0.0,0.0,0.0,0.0
OP5 R SCALE DEPTH,0.0,0.009465575,0.0,0.0,0.0
OP5 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP5 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP5 RATE SCALING,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP5 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP5 KEY VELOCITY,1.0,1.0,1.0,1.0,1.0
OP6 EG RATE 1,0.969697,0.91375923,0.92429906,0.9893601,0.9983999
OP6 EG RATE 2,0.30303,0.47433025,0.34525314,0.41079414,0.4238021
OP6 EG RATE 3,0.252525,0.2464756,0.28248566,0.3383033,0.35082656
OP6 EG RATE 4,0.40404,0.395978,0.3734045,0.35167524,0.35062897
OP6 EG LEVEL 1,1.0,0.9712492,1.0,0.9950309,0.99493355
OP6 EG LEVEL 2,0.808081,0.89059484,0.7817031,0.8533643,0.8455374
OP6 EG LEVEL 3,0.0,0.0,0.0,0.0,0.0
OP6 EG LEVEL 4,0.0,0.0,0.0,8.036965e-08,0.0
OP6 OUTPUT LEVEL,0.656566,0.7214647,0.69554764,0.671198,0.6602734
OP6 MODE,0.0,0.0,0.0,0.0,0.0
OP6 F COARSE,0.16129032,0.16129032,0.16129032,0.16129032,0.16129032
OP6 F FINE,0.0,0.0,0.0,0.0002236065,0.0
OP6 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP6 BREAK POINT,0.0,0.13280253,0.011714743,0.058824603,0.048565406
OP6 L SCALE DEPTH,0.0,0.0,0.04178389,0.015427944,0.014513883
OP6 R SCALE DEPTH,0.0,0.092172414,0.04294526,0.035308037,0.028053641
OP6 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP6 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP6 RATE SCALING,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP6 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP6 KEY VELOCITY,1.0,1.0,1.0,1.0,1.0
